sim_time_s,wall_ahead,wall_left,wall_front_right,wall_right,left_density,center_density,right_density,mean_right,target_visible,target_direction,left_velocity,right_velocity,dist_to_target,collided,outcome
0.032,False,False,False,True,0.00521,0.00521,0.00521,104.743,False,,3.0,3.0,0.9487,False,
0.064,False,False,False,True,0.00521,0.00521,0.01432,130.66,False,,3.0,3.0,0.9487,False,
0.096,False,False,False,True,0.00521,0.00521,0.01065,117.162,False,,3.0,3.0,0.9487,False,
0.128,False,False,False,True,0.00521,0.00521,0.01077,117.257,False,,3.0,3.0,0.9487,False,
0.16,False,False,False,True,0.00521,0.00521,0.0142,130.748,False,,3.0,3.0,0.9487,False,
0.192,False,False,False,True,0.00521,0.00521,0.0142,123.902,False,,3.0,3.0,0.9487,False,
0.224,False,False,False,True,0.00521,0.00521,0.01361,124.764,False,,3.0,3.0,0.9468,False,
0.256,False,False,False,True,0.00521,0.00521,0.01314,125.508,False,,3.0,3.0,0.945,False,
0.288,False,False,False,True,0.00521,0.00521,0.01261,126.265,False,,3.0,3.0,0.9432,False,
0.32,False,False,False,True,0.00521,0.00521,0.01219,126.905,False,,3.0,3.0,0.9414,False,
0.352,False,False,False,True,0.00521,0.00521,0.0116,127.452,False,,3.0,3.0,0.9395,False,
0.384,False,False,False,True,0.00521,0.00521,0.01113,128.028,False,,3.0,3.0,0.9377,False,
0.416,False,False,False,True,0.00521,0.00521,0.01059,128.397,False,,3.0,3.0,0.9359,False,
0.448,False,False,False,True,0.00521,0.00521,0.01006,128.78,False,,3.0,3.0,0.9341,False,
0.48,False,False,False,True,0.00521,0.00521,0.00971,129.091,False,,3.0,3.0,0.9323,False,
0.512,False,False,False,True,0.00521,0.00521,0.00965,129.514,False,,3.0,3.0,0.9305,False,
0.544,False,False,False,True,0.00521,0.00521,0.00935,129.767,False,,3.0,3.0,0.9286,False,
0.576,False,False,False,True,0.00521,0.00521,0.00906,130.097,False,,3.0,3.0,0.9268,False,
0.608,False,False,False,True,0.00521,0.00521,0.00882,130.338,False,,3.0,3.0,0.925,False,
0.64,False,False,False,True,0.00521,0.00521,0.00521,130.531,False,,3.0,3.0,0.9232,False,
0.672,False,False,False,True,0.00521,0.00521,0.00521,130.854,False,,3.0,3.0,0.9214,False,
0.704,False,False,False,True,0.00521,0.00521,0.00521,131.107,False,,3.0,3.0,0.9196,False,
0.736,False,False,False,True,0.00521,0.00521,0.00521,131.342,False,,3.0,3.0,0.9177,False,
0.768,False,False,False,True,0.00521,0.00521,0.00521,131.534,False,,3.0,3.0,0.9159,False,
0.8,False,False,False,True,0.00521,0.00521,0.00521,131.796,False,,3.0,3.0,0.9141,False,
0.832,False,False,False,True,0.00521,0.00521,0.00521,132.009,False,,3.0,3.0,0.9123,False,
0.864,False,False,False,True,0.00521,0.00521,0.00521,132.272,False,,3.0,3.0,0.9105,False,
0.896,False,False,False,True,0.00521,0.00521,0.00521,132.439,False,,3.0,3.0,0.9087,False,
0.928,False,False,False,True,0.00521,0.00521,0.00521,132.675,False,,3.0,3.0,0.9069,False,
0.96,False,False,False,True,0.00521,0.00521,0.00521,132.869,False,,3.0,3.0,0.9051,False,
0.992,False,False,False,True,0.00521,0.00521,0.00521,133.008,False,,3.0,3.0,0.9032,False,
1.024,False,False,False,True,0.00521,0.00521,0.00521,133.259,False,,3.0,3.0,0.9014,False,
1.056,False,False,False,True,0.00521,0.00521,0.00521,133.409,False,,3.0,3.0,0.8996,False,
1.088,False,False,False,True,0.00521,0.00521,0.00521,133.674,False,,3.0,3.0,0.8978,False,
1.12,False,False,False,True,0.00521,0.00521,0.00521,132.782,False,,3.0,3.0,0.896,False,
1.152,False,False,False,True,0.00521,0.00521,0.00521,130.581,False,,3.0,3.0,0.8942,False,
1.184,False,False,False,True,0.00521,0.00521,0.00521,128.217,False,,3.0,3.0,0.8924,False,
1.216,False,False,False,True,0.00521,0.00521,0.00521,125.867,False,,3.0,3.0,0.8906,False,
1.248,False,False,False,True,0.00521,0.00521,0.00521,123.356,False,,3.0,3.0,0.8888,False,
1.28,False,False,False,True,0.00521,0.00521,0.00521,121.513,False,,3.0,3.0,0.887,False,
1.312,False,False,False,True,0.00521,0.00521,0.00521,122.358,False,,3.0,3.0,0.8852,False,
1.344,False,False,False,True,0.00521,0.00521,0.00521,122.903,False,,3.0,3.0,0.8833,False,
1.376,False,False,False,True,0.00521,0.00521,0.00521,123.214,False,,3.0,3.0,0.8815,False,
1.408,False,False,False,True,0.00521,0.00521,0.00521,123.215,False,,3.0,3.0,0.8797,False,
1.44,False,False,False,True,0.00521,0.00521,0.00521,122.935,False,,3.0,3.0,0.8779,False,
1.472,False,False,False,True,0.00521,0.00521,0.00521,122.359,False,,3.0,3.0,0.8761,False,
1.504,False,False,False,True,0.00521,0.00521,0.00521,121.823,False,,3.0,3.0,0.8743,False,
1.536,False,False,False,True,0.00521,0.00521,0.00521,119.56,False,,3.0,3.0,0.8725,False,
1.568,False,False,False,True,0.00521,0.00521,0.00521,116.082,False,,3.0,3.0,0.8707,False,
1.6,False,False,False,True,0.00521,0.00521,0.00521,112.649,False,,3.0,3.0,0.8689,False,
1.632,False,False,False,True,0.00521,0.00521,0.00521,109.252,False,,3.0,3.0,0.8671,False,
1.664,False,False,False,True,0.00521,0.00521,0.00521,105.836,False,,3.0,3.0,0.8653,False,
1.696,False,False,False,True,0.00521,0.00521,0.00521,101.949,False,,3.0,3.0,0.8635,False,
1.728,False,False,False,True,0.00521,0.00521,0.00521,97.493,False,,3.0,3.0,0.8617,False,
1.76,False,False,False,True,0.00521,0.00521,0.00521,93.228,False,,3.0,3.0,0.8599,False,
1.792,False,False,False,True,0.00521,0.00521,0.00521,89.199,False,,3.0,3.0,0.8581,False,
1.824,False,False,False,True,0.00521,0.00521,0.00521,85.42,False,,3.0,3.0,0.8563,True,collided
